"ISO","year","totdeath","armconf1"
"AFG",2000,5065,1
"AFG",2001,5394,1
"AFG",2002,5553,1
"AFG",2003,1157,1
"AFG",2004,944,1
"AFG",2005,817,1
"AFG",2006,1711,1
"AFG",2007,4982,1
"AFG",2008,7020,1
"AFG",2009,5660,1
"AFG",2010,6499,1
"AFG",2011,7151,1
"AFG",2012,7563,1
"AFG",2013,7824,1
"AFG",2014,8131,1
"AFG",2015,12549,1
"AFG",2016,17987,1
"AFG",2017,18719,1
"AFG",2018,19776,1
"AFG",2019,26889,1
"AGO",2000,2666,1
"AGO",2001,1206,1
"AGO",2002,2154,1
"AGO",2003,579,1
"AGO",2004,84,1
"AGO",2005,38,1
"AGO",2006,15,0
"AGO",2007,3,0
"AGO",2008,26,1
"AGO",2009,4,0
"AGO",2010,25,1
"AGO",2011,10,0
"AGO",2012,1,0
"AGO",2013,NA,NA
"AGO",2014,2,0
"AGO",2015,0,0
"AGO",2016,1,0
"AGO",2017,26,1
"AGO",2018,26,1
"AGO",2019,24,0
"ALB",2000,6,0
"ALB",2001,NA,NA
"ALB",2002,NA,NA
"ALB",2003,NA,NA
"ALB",2004,NA,NA
"ALB",2005,NA,NA
"ALB",2006,NA,NA
"ALB",2007,NA,NA
"ALB",2008,NA,NA
"ALB",2009,NA,NA
"ALB",2010,NA,NA
"ALB",2011,NA,NA
"ALB",2012,NA,NA
"ALB",2013,NA,NA
"ALB",2014,NA,NA
"ALB",2015,NA,NA
"ALB",2016,NA,NA
"ALB",2017,NA,NA
"ALB",2018,NA,NA
"ALB",2019,NA,NA
"AND",2000,NA,NA
"AND",2001,NA,NA
"AND",2002,NA,NA
"AND",2003,NA,NA
"AND",2004,NA,NA
"AND",2005,NA,NA
"AND",2006,NA,NA
"AND",2007,NA,NA
"AND",2008,NA,NA
"AND",2009,NA,NA
"AND",2010,NA,NA
"AND",2011,NA,NA
"AND",2012,NA,NA
"AND",2013,NA,NA
"AND",2014,NA,NA
"AND",2015,NA,NA
"AND",2016,NA,NA
"AND",2017,NA,NA
"AND",2018,NA,NA
"AND",2019,NA,NA
"ARE",2000,NA,NA
"ARE",2001,NA,NA
"ARE",2002,NA,NA
"ARE",2003,NA,NA
"ARE",2004,NA,NA
"ARE",2005,NA,NA
"ARE",2006,NA,NA
"ARE",2007,NA,NA
"ARE",2008,NA,NA
"ARE",2009,NA,NA
"ARE",2010,NA,NA
"ARE",2011,1,0
"ARE",2012,NA,NA
"ARE",2013,NA,NA
"ARE",2014,NA,NA
"ARE",2015,NA,NA
"ARE",2016,NA,NA
"ARE",2017,NA,NA
"ARE",2018,NA,NA
"ARE",2019,NA,NA
"ARG",2000,NA,NA
"ARG",2001,NA,NA
"ARG",2002,NA,NA
"ARG",2003,NA,NA
"ARG",2004,NA,NA
"ARG",2005,NA,NA
"ARG",2006,NA,NA
"ARG",2007,NA,NA
"ARG",2008,NA,NA
"ARG",2009,NA,NA
"ARG",2010,NA,NA
"ARG",2011,NA,NA
"ARG",2012,NA,NA
"ARG",2013,NA,NA
"ARG",2014,NA,NA
"ARG",2015,NA,NA
"ARG",2016,NA,NA
"ARG",2017,NA,NA
"ARG",2018,NA,NA
"ARG",2019,NA,NA
"ARM",2000,NA,NA
"ARM",2001,NA,NA
"ARM",2002,NA,NA
"ARM",2003,NA,NA
"ARM",2004,NA,NA
"ARM",2005,NA,NA
"ARM",2006,1,0
"ARM",2007,2,0
"ARM",2008,NA,NA
"ARM",2009,NA,NA
"ARM",2010,NA,NA
"ARM",2011,NA,NA
"ARM",2012,NA,NA
"ARM",2013,9,0
"ARM",2014,1,0
"ARM",2015,NA,NA
"ARM",2016,16,0
"ARM",2017,4,0
"ARM",2018,NA,NA
"ARM",2019,1,0
"ATG",2000,NA,NA
"ATG",2001,NA,NA
"ATG",2002,NA,NA
"ATG",2003,NA,NA
"ATG",2004,NA,NA
"ATG",2005,NA,NA
"ATG",2006,NA,NA
"ATG",2007,NA,NA
"ATG",2008,NA,NA
"ATG",2009,NA,NA
"ATG",2010,NA,NA
"ATG",2011,NA,NA
"ATG",2012,NA,NA
"ATG",2013,NA,NA
"ATG",2014,NA,NA
"ATG",2015,NA,NA
"ATG",2016,NA,NA
"ATG",2017,NA,NA
"ATG",2018,NA,NA
"ATG",2019,NA,NA
"AUS",2000,NA,NA
"AUS",2001,NA,NA
"AUS",2002,NA,NA
"AUS",2003,NA,NA
"AUS",2004,NA,NA
"AUS",2005,NA,NA
"AUS",2006,NA,NA
"AUS",2007,NA,NA
"AUS",2008,NA,NA
"AUS",2009,NA,NA
"AUS",2010,NA,NA
"AUS",2011,NA,NA
"AUS",2012,NA,NA
"AUS",2013,NA,NA
"AUS",2014,NA,NA
"AUS",2015,NA,NA
"AUS",2016,NA,NA
"AUS",2017,NA,NA
"AUS",2018,NA,NA
"AUS",2019,2,0
"AUT",2000,NA,NA
"AUT",2001,NA,NA
"AUT",2002,NA,NA
"AUT",2003,NA,NA
"AUT",2004,NA,NA
"AUT",2005,NA,NA
"AUT",2006,NA,NA
"AUT",2007,NA,NA
"AUT",2008,NA,NA
"AUT",2009,NA,NA
"AUT",2010,NA,NA
"AUT",2011,NA,NA
"AUT",2012,NA,NA
"AUT",2013,NA,NA
"AUT",2014,NA,NA
"AUT",2015,NA,NA
"AUT",2016,NA,NA
"AUT",2017,NA,NA
"AUT",2018,NA,NA
"AUT",2019,NA,NA
"AZE",2000,18,0
"AZE",2001,13,0
"AZE",2002,6,0
"AZE",2003,NA,NA
"AZE",2004,NA,NA
"AZE",2005,8,0
"AZE",2006,24,0
"AZE",2007,5,0
"AZE",2008,12,0
"AZE",2009,30,1
"AZE",2010,7,0
"AZE",2011,20,0
"AZE",2012,21,0
"AZE",2013,16,0
"AZE",2014,11,0
"AZE",2015,46,1
"AZE",2016,63,1
"AZE",2017,137,1
"AZE",2018,36,1
"AZE",2019,16,0
"BDI",2000,1009,1
"BDI",2001,2071,1
"BDI",2002,1253,1
"BDI",2003,1576,1
"BDI",2004,1245,1
"BDI",2005,679,1
"BDI",2006,378,1
"BDI",2007,185,1
"BDI",2008,79,1
"BDI",2009,220,1
"BDI",2010,NA,NA
"BDI",2011,NA,NA
"BDI",2012,1,0
"BDI",2013,9,0
"BDI",2014,9,0
"BDI",2015,70,1
"BDI",2016,260,1
"BDI",2017,81,1
"BDI",2018,43,1
"BDI",2019,113,1
"BEL",2000,NA,NA
"BEL",2001,NA,NA
"BEL",2002,NA,NA
"BEL",2003,NA,NA
"BEL",2004,NA,NA
"BEL",2005,NA,NA
"BEL",2006,NA,NA
"BEL",2007,NA,NA
"BEL",2008,NA,NA
"BEL",2009,NA,NA
"BEL",2010,NA,NA
"BEL",2011,NA,NA
"BEL",2012,NA,NA
"BEL",2013,NA,NA
"BEL",2014,NA,NA
"BEL",2015,NA,NA
"BEL",2016,NA,NA
"BEL",2017,34,1
"BEL",2018,NA,NA
"BEL",2019,4,0
"BEN",2000,NA,NA
"BEN",2001,NA,NA
"BEN",2002,NA,NA
"BEN",2003,NA,NA
"BEN",2004,NA,NA
"BEN",2005,NA,NA
"BEN",2006,NA,NA
"BEN",2007,NA,NA
"BEN",2008,NA,NA
"BEN",2009,NA,NA
"BEN",2010,NA,NA
"BEN",2011,NA,NA
"BEN",2012,NA,NA
"BEN",2013,NA,NA
"BEN",2014,NA,NA
"BEN",2015,NA,NA
"BEN",2016,NA,NA
"BEN",2017,NA,NA
"BEN",2018,NA,NA
"BEN",2019,NA,NA
"BFA",2000,NA,NA
"BFA",2001,NA,NA
"BFA",2002,NA,NA
"BFA",2003,NA,NA
"BFA",2004,NA,NA
"BFA",2005,NA,NA
"BFA",2006,NA,NA
"BFA",2007,NA,NA
"BFA",2008,NA,NA
"BFA",2009,NA,NA
"BFA",2010,NA,NA
"BFA",2011,NA,NA
"BFA",2012,NA,NA
"BFA",2013,NA,NA
"BFA",2014,NA,NA
"BFA",2015,NA,NA
"BFA",2016,NA,NA
"BFA",2017,26,1
"BFA",2018,54,1
"BFA",2019,195,1
"BGD",2000,14,0
"BGD",2001,105,1
"BGD",2002,62,1
"BGD",2003,6,0
"BGD",2004,8,0
"BGD",2005,51,1
"BGD",2006,80,1
"BGD",2007,96,1
"BGD",2008,18,0
"BGD",2009,13,0
"BGD",2010,10,0
"BGD",2011,5,0
"BGD",2012,0,0
"BGD",2013,2,0
"BGD",2014,54,1
"BGD",2015,2,0
"BGD",2016,10,0
"BGD",2017,73,1
"BGD",2018,48,1
"BGD",2019,28,1
"BGR",2000,NA,NA
"BGR",2001,NA,NA
"BGR",2002,NA,NA
"BGR",2003,NA,NA
"BGR",2004,NA,NA
"BGR",2005,NA,NA
"BGR",2006,NA,NA
"BGR",2007,NA,NA
"BGR",2008,NA,NA
"BGR",2009,NA,NA
"BGR",2010,NA,NA
"BGR",2011,NA,NA
"BGR",2012,NA,NA
"BGR",2013,NA,NA
"BGR",2014,NA,NA
"BGR",2015,NA,NA
"BGR",2016,NA,NA
"BGR",2017,NA,NA
"BGR",2018,NA,NA
"BGR",2019,NA,NA
"BHR",2000,NA,NA
"BHR",2001,NA,NA
"BHR",2002,NA,NA
"BHR",2003,NA,NA
"BHR",2004,NA,NA
"BHR",2005,NA,NA
"BHR",2006,NA,NA
"BHR",2007,NA,NA
"BHR",2008,NA,NA
"BHR",2009,NA,NA
"BHR",2010,NA,NA
"BHR",2011,NA,NA
"BHR",2012,26,1
"BHR",2013,NA,NA
"BHR",2014,NA,NA
"BHR",2015,NA,NA
"BHR",2016,NA,NA
"BHR",2017,NA,NA
"BHR",2018,NA,NA
"BHR",2019,NA,NA
"BHS",2000,NA,NA
"BHS",2001,NA,NA
"BHS",2002,NA,NA
"BHS",2003,NA,NA
"BHS",2004,NA,NA
"BHS",2005,NA,NA
"BHS",2006,NA,NA
"BHS",2007,NA,NA
"BHS",2008,NA,NA
"BHS",2009,NA,NA
"BHS",2010,NA,NA
"BHS",2011,NA,NA
"BHS",2012,NA,NA
"BHS",2013,NA,NA
"BHS",2014,NA,NA
"BHS",2015,NA,NA
"BHS",2016,NA,NA
"BHS",2017,NA,NA
"BHS",2018,NA,NA
"BHS",2019,NA,NA
"BIH",2000,NA,NA
"BIH",2001,NA,NA
"BIH",2002,NA,NA
"BIH",2003,NA,NA
"BIH",2004,NA,NA
"BIH",2005,NA,NA
"BIH",2006,NA,NA
"BIH",2007,NA,NA
"BIH",2008,NA,NA
"BIH",2009,NA,NA
"BIH",2010,NA,NA
"BIH",2011,NA,NA
"BIH",2012,NA,NA
"BIH",2013,NA,NA
"BIH",2014,NA,NA
"BIH",2015,NA,NA
"BIH",2016,NA,NA
"BIH",2017,NA,NA
"BIH",2018,NA,NA
"BIH",2019,NA,NA
"BLR",2000,NA,NA
"BLR",2001,NA,NA
"BLR",2002,NA,NA
"BLR",2003,NA,NA
"BLR",2004,NA,NA
"BLR",2005,NA,NA
"BLR",2006,NA,NA
"BLR",2007,NA,NA
"BLR",2008,NA,NA
"BLR",2009,NA,NA
"BLR",2010,NA,NA
"BLR",2011,NA,NA
"BLR",2012,NA,NA
"BLR",2013,NA,NA
"BLR",2014,NA,NA
"BLR",2015,NA,NA
"BLR",2016,NA,NA
"BLR",2017,NA,NA
"BLR",2018,NA,NA
"BLR",2019,NA,NA
"BLZ",2000,NA,NA
"BLZ",2001,NA,NA
"BLZ",2002,NA,NA
"BLZ",2003,NA,NA
"BLZ",2004,NA,NA
"BLZ",2005,NA,NA
"BLZ",2006,NA,NA
"BLZ",2007,NA,NA
"BLZ",2008,NA,NA
"BLZ",2009,NA,NA
"BLZ",2010,NA,NA
"BLZ",2011,NA,NA
"BLZ",2012,NA,NA
"BLZ",2013,NA,NA
"BLZ",2014,NA,NA
"BLZ",2015,NA,NA
"BLZ",2016,NA,NA
"BLZ",2017,NA,NA
"BLZ",2018,NA,NA
"BLZ",2019,NA,NA
"BOL",2000,NA,NA
"BOL",2001,50,1
"BOL",2002,NA,NA
"BOL",2003,NA,NA
"BOL",2004,NA,NA
"BOL",2005,NA,NA
"BOL",2006,NA,NA
"BOL",2007,NA,NA
"BOL",2008,NA,NA
"BOL",2009,NA,NA
"BOL",2010,NA,NA
"BOL",2011,NA,NA
"BOL",2012,NA,NA
"BOL",2013,NA,NA
"BOL",2014,NA,NA
"BOL",2015,NA,NA
"BOL",2016,NA,NA
"BOL",2017,NA,NA
"BOL",2018,NA,NA
"BOL",2019,NA,NA
"BRA",2000,62,1
"BRA",2001,46,1
"BRA",2002,74,1
"BRA",2003,61,1
"BRA",2004,43,1
"BRA",2005,86,1
"BRA",2006,54,1
"BRA",2007,22,0
"BRA",2008,40,1
"BRA",2009,20,0
"BRA",2010,40,1
"BRA",2011,4,0
"BRA",2012,34,1
"BRA",2013,270,1
"BRA",2014,4,0
"BRA",2015,1,0
"BRA",2016,18,0
"BRA",2017,34,1
"BRA",2018,2803,1
"BRA",2019,2380,1
"BRB",2000,NA,NA
"BRB",2001,NA,NA
"BRB",2002,NA,NA
"BRB",2003,NA,NA
"BRB",2004,NA,NA
"BRB",2005,NA,NA
"BRB",2006,NA,NA
"BRB",2007,NA,NA
"BRB",2008,NA,NA
"BRB",2009,NA,NA
"BRB",2010,NA,NA
"BRB",2011,NA,NA
"BRB",2012,NA,NA
"BRB",2013,NA,NA
"BRB",2014,NA,NA
"BRB",2015,NA,NA
"BRB",2016,NA,NA
"BRB",2017,NA,NA
"BRB",2018,NA,NA
"BRB",2019,NA,NA
"BRN",2000,NA,NA
"BRN",2001,NA,NA
"BRN",2002,NA,NA
"BRN",2003,NA,NA
"BRN",2004,NA,NA
"BRN",2005,NA,NA
"BRN",2006,NA,NA
"BRN",2007,NA,NA
"BRN",2008,NA,NA
"BRN",2009,NA,NA
"BRN",2010,NA,NA
"BRN",2011,NA,NA
"BRN",2012,NA,NA
"BRN",2013,NA,NA
"BRN",2014,NA,NA
"BRN",2015,NA,NA
"BRN",2016,NA,NA
"BRN",2017,NA,NA
"BRN",2018,NA,NA
"BRN",2019,NA,NA
"BTN",2000,NA,NA
"BTN",2001,NA,NA
"BTN",2002,NA,NA
"BTN",2003,NA,NA
"BTN",2004,NA,NA
"BTN",2005,0,0
"BTN",2006,NA,NA
"BTN",2007,NA,NA
"BTN",2008,NA,NA
"BTN",2009,NA,NA
"BTN",2010,NA,NA
"BTN",2011,NA,NA
"BTN",2012,NA,NA
"BTN",2013,NA,NA
"BTN",2014,NA,NA
"BTN",2015,NA,NA
"BTN",2016,NA,NA
"BTN",2017,NA,NA
"BTN",2018,NA,NA
"BTN",2019,NA,NA
"BWA",2000,NA,NA
"BWA",2001,NA,NA
"BWA",2002,NA,NA
"BWA",2003,NA,NA
"BWA",2004,NA,NA
"BWA",2005,NA,NA
"BWA",2006,NA,NA
"BWA",2007,NA,NA
"BWA",2008,NA,NA
"BWA",2009,NA,NA
"BWA",2010,NA,NA
"BWA",2011,NA,NA
"BWA",2012,NA,NA
"BWA",2013,NA,NA
"BWA",2014,NA,NA
"BWA",2015,NA,NA
"BWA",2016,NA,NA
"BWA",2017,NA,NA
"BWA",2018,NA,NA
"BWA",2019,NA,NA
"CAF",2000,5,0
"CAF",2001,6,0
"CAF",2002,216,1
"CAF",2003,152,1
"CAF",2004,19,0
"CAF",2005,23,0
"CAF",2006,8,0
"CAF",2007,190,1
"CAF",2008,143,1
"CAF",2009,8,0
"CAF",2010,244,1
"CAF",2011,148,1
"CAF",2012,195,1
"CAF",2013,132,1
"CAF",2014,3396,1
"CAF",2015,3494,1
"CAF",2016,743,1
"CAF",2017,688,1
"CAF",2018,1849,1
"CAF",2019,640,1
"CAN",2000,11,0
"CAN",2001,23,0
"CAN",2002,1,0
"CAN",2003,NA,NA
"CAN",2004,NA,NA
"CAN",2005,NA,NA
"CAN",2006,NA,NA
"CAN",2007,NA,NA
"CAN",2008,NA,NA
"CAN",2009,NA,NA
"CAN",2010,NA,NA
"CAN",2011,NA,NA
"CAN",2012,NA,NA
"CAN",2013,NA,NA
"CAN",2014,NA,NA
"CAN",2015,NA,NA
"CAN",2016,NA,NA
"CAN",2017,NA,NA
"CAN",2018,NA,NA
"CAN",2019,NA,NA
"CHE",2000,NA,NA
"CHE",2001,NA,NA
"CHE",2002,NA,NA
"CHE",2003,NA,NA
"CHE",2004,NA,NA
"CHE",2005,NA,NA
"CHE",2006,NA,NA
"CHE",2007,NA,NA
"CHE",2008,NA,NA
"CHE",2009,NA,NA
"CHE",2010,NA,NA
"CHE",2011,NA,NA
"CHE",2012,NA,NA
"CHE",2013,NA,NA
"CHE",2014,NA,NA
"CHE",2015,NA,NA
"CHE",2016,NA,NA
"CHE",2017,NA,NA
"CHE",2018,NA,NA
"CHE",2019,NA,NA
"CHL",2000,NA,NA
"CHL",2001,NA,NA
"CHL",2002,NA,NA
"CHL",2003,NA,NA
"CHL",2004,NA,NA
"CHL",2005,NA,NA
"CHL",2006,NA,NA
"CHL",2007,NA,NA
"CHL",2008,NA,NA
"CHL",2009,NA,NA
"CHL",2010,NA,NA
"CHL",2011,NA,NA
"CHL",2012,NA,NA
"CHL",2013,NA,NA
"CHL",2014,NA,NA
"CHL",2015,NA,NA
"CHL",2016,NA,NA
"CHL",2017,NA,NA
"CHL",2018,NA,NA
"CHL",2019,NA,NA
"CHN",2000,0,0
"CHN",2001,NA,NA
"CHN",2002,NA,NA
"CHN",2003,NA,NA
"CHN",2004,NA,NA
"CHN",2005,NA,NA
"CHN",2006,12,0
"CHN",2007,NA,NA
"CHN",2008,0,0
"CHN",2009,87,1
"CHN",2010,189,1
"CHN",2011,NA,NA
"CHN",2012,NA,NA
"CHN",2013,NA,NA
"CHN",2014,NA,NA
"CHN",2015,NA,NA
"CHN",2016,5,0
"CHN",2017,NA,NA
"CHN",2018,6,0
"CHN",2019,NA,NA
"CIV",2000,0,0
"CIV",2001,132,1
"CIV",2002,2,0
"CIV",2003,1028,1
"CIV",2004,492,1
"CIV",2005,304,1
"CIV",2006,153,1
"CIV",2007,11,0
"CIV",2008,3,0
"CIV",2009,4,0
"CIV",2010,1,0
"CIV",2011,80,1
"CIV",2012,1256,1
"CIV",2013,21,0
"CIV",2014,4,0
"CIV",2015,NA,NA
"CIV",2016,NA,NA
"CIV",2017,49,1
"CIV",2018,NA,NA
"CIV",2019,NA,NA
"CMR",2000,NA,NA
"CMR",2001,2,0
"CMR",2002,0,0
"CMR",2003,NA,NA
"CMR",2004,NA,NA
"CMR",2005,0,0
"CMR",2006,0,0
"CMR",2007,NA,NA
"CMR",2008,NA,NA
"CMR",2009,0,0
"CMR",2010,0,0
"CMR",2011,NA,NA
"CMR",2012,NA,NA
"CMR",2013,NA,NA
"CMR",2014,1,0
"CMR",2015,1047,1
"CMR",2016,1263,1
"CMR",2017,491,1
"CMR",2018,410,1
"CMR",2019,1007,1
"COD",2000,7541,1
"COD",2001,3052,1
"COD",2002,1391,1
"COD",2003,7931,1
"COD",2004,4328,1
"COD",2005,795,1
"COD",2006,314,1
"COD",2007,390,1
"COD",2008,879,1
"COD",2009,1740,1
"COD",2010,5069,1
"COD",2011,799,1
"COD",2012,511,1
"COD",2013,1842,1
"COD",2014,2196,1
"COD",2015,1622,1
"COD",2016,737,1
"COD",2017,2194,1
"COD",2018,6031,1
"COD",2019,3130,1
"COG",2000,948,1
"COG",2001,NA,NA
"COG",2002,3,0
"COG",2003,234,1
"COG",2004,33,1
"COG",2005,NA,NA
"COG",2006,15,0
"COG",2007,NA,NA
"COG",2008,2,0
"COG",2009,1,0
"COG",2010,NA,NA
"COG",2011,NA,NA
"COG",2012,1,0
"COG",2013,2,0
"COG",2014,NA,NA
"COG",2015,NA,NA
"COG",2016,0,0
"COG",2017,73,1
"COG",2018,20,0
"COG",2019,NA,NA
"COL",2000,2093,1
"COL",2001,4293,1
"COL",2002,4592,1
"COL",2003,4346,1
"COL",2004,1183,1
"COL",2005,1781,1
"COL",2006,1725,1
"COL",2007,588,1
"COL",2008,362,1
"COL",2009,252,1
"COL",2010,419,1
"COL",2011,442,1
"COL",2012,227,1
"COL",2013,227,1
"COL",2014,140,1
"COL",2015,156,1
"COL",2016,143,1
"COL",2017,38,1
"COL",2018,87,1
"COL",2019,245,1
"COM",2000,NA,NA
"COM",2001,NA,NA
"COM",2002,NA,NA
"COM",2003,NA,NA
"COM",2004,NA,NA
"COM",2005,NA,NA
"COM",2006,NA,NA
"COM",2007,NA,NA
"COM",2008,NA,NA
"COM",2009,NA,NA
"COM",2010,NA,NA
"COM",2011,NA,NA
"COM",2012,NA,NA
"COM",2013,NA,NA
"COM",2014,NA,NA
"COM",2015,NA,NA
"COM",2016,NA,NA
"COM",2017,NA,NA
"COM",2018,NA,NA
"COM",2019,NA,NA
"CPV",2000,NA,NA
"CPV",2001,NA,NA
"CPV",2002,NA,NA
"CPV",2003,NA,NA
"CPV",2004,NA,NA
"CPV",2005,NA,NA
"CPV",2006,NA,NA
"CPV",2007,NA,NA
"CPV",2008,NA,NA
"CPV",2009,NA,NA
"CPV",2010,NA,NA
"CPV",2011,NA,NA
"CPV",2012,NA,NA
"CPV",2013,NA,NA
"CPV",2014,NA,NA
"CPV",2015,NA,NA
"CPV",2016,NA,NA
"CPV",2017,NA,NA
"CPV",2018,NA,NA
"CPV",2019,NA,NA
"CRI",2000,NA,NA
"CRI",2001,NA,NA
"CRI",2002,NA,NA
"CRI",2003,NA,NA
"CRI",2004,NA,NA
"CRI",2005,NA,NA
"CRI",2006,NA,NA
"CRI",2007,NA,NA
"CRI",2008,NA,NA
"CRI",2009,NA,NA
"CRI",2010,NA,NA
"CRI",2011,NA,NA
"CRI",2012,NA,NA
"CRI",2013,NA,NA
"CRI",2014,NA,NA
"CRI",2015,NA,NA
"CRI",2016,NA,NA
"CRI",2017,NA,NA
"CRI",2018,NA,NA
"CRI",2019,NA,NA
"CUB",2000,NA,NA
"CUB",2001,NA,NA
"CUB",2002,NA,NA
"CUB",2003,NA,NA
"CUB",2004,NA,NA
"CUB",2005,NA,NA
"CUB",2006,NA,NA
"CUB",2007,NA,NA
"CUB",2008,NA,NA
"CUB",2009,NA,NA
"CUB",2010,NA,NA
"CUB",2011,NA,NA
"CUB",2012,NA,NA
"CUB",2013,NA,NA
"CUB",2014,NA,NA
"CUB",2015,NA,NA
"CUB",2016,NA,NA
"CUB",2017,NA,NA
"CUB",2018,NA,NA
"CUB",2019,NA,NA
"CYP",2000,NA,NA
"CYP",2001,NA,NA
"CYP",2002,NA,NA
"CYP",2003,NA,NA
"CYP",2004,NA,NA
"CYP",2005,NA,NA
"CYP",2006,NA,NA
"CYP",2007,NA,NA
"CYP",2008,NA,NA
"CYP",2009,NA,NA
"CYP",2010,NA,NA
"CYP",2011,NA,NA
"CYP",2012,NA,NA
"CYP",2013,NA,NA
"CYP",2014,NA,NA
"CYP",2015,NA,NA
"CYP",2016,NA,NA
"CYP",2017,NA,NA
"CYP",2018,NA,NA
"CYP",2019,NA,NA
"CZE",2000,NA,NA
"CZE",2001,NA,NA
"CZE",2002,NA,NA
"CZE",2003,NA,NA
"CZE",2004,NA,NA
"CZE",2005,NA,NA
"CZE",2006,NA,NA
"CZE",2007,NA,NA
"CZE",2008,NA,NA
"CZE",2009,NA,NA
"CZE",2010,NA,NA
"CZE",2011,NA,NA
"CZE",2012,NA,NA
"CZE",2013,NA,NA
"CZE",2014,NA,NA
"CZE",2015,NA,NA
"CZE",2016,NA,NA
"CZE",2017,NA,NA
"CZE",2018,NA,NA
"CZE",2019,NA,NA
"DEU",2000,NA,NA
"DEU",2001,NA,NA
"DEU",2002,NA,NA
"DEU",2003,NA,NA
"DEU",2004,NA,NA
"DEU",2005,NA,NA
"DEU",2006,NA,NA
"DEU",2007,NA,NA
"DEU",2008,NA,NA
"DEU",2009,NA,NA
"DEU",2010,NA,NA
"DEU",2011,NA,NA
"DEU",2012,NA,NA
"DEU",2013,NA,NA
"DEU",2014,NA,NA
"DEU",2015,NA,NA
"DEU",2016,NA,NA
"DEU",2017,12,0
"DEU",2018,NA,NA
"DEU",2019,NA,NA
"DJI",2000,25,1
"DJI",2001,NA,NA
"DJI",2002,NA,NA
"DJI",2003,NA,NA
"DJI",2004,NA,NA
"DJI",2005,NA,NA
"DJI",2006,NA,NA
"DJI",2007,NA,NA
"DJI",2008,NA,NA
"DJI",2009,35,1
"DJI",2010,NA,NA
"DJI",2011,NA,NA
"DJI",2012,NA,NA
"DJI",2013,NA,NA
"DJI",2014,NA,NA
"DJI",2015,1,0
"DJI",2016,NA,NA
"DJI",2017,NA,NA
"DJI",2018,NA,NA
"DJI",2019,6,0
"DMA",2000,NA,NA
"DMA",2001,NA,NA
"DMA",2002,NA,NA
"DMA",2003,NA,NA
"DMA",2004,NA,NA
"DMA",2005,NA,NA
"DMA",2006,NA,NA
"DMA",2007,NA,NA
"DMA",2008,NA,NA
